time,pco2_in_sea_water,pco2_in_sea_water_qc_agg,z
UTC,microatm,,m
2007-07-08T12:16:00Z,424.4,2,0.0
2007-07-08T15:16:00Z,422.0,2,0.0
2007-07-08T18:16:00Z,423.4,2,0.0
2007-07-08T21:16:00Z,415.7,2,0.0
2007-07-09T00:16:00Z,409.4,2,0.0
2007-07-09T03:16:00Z,407.7,2,0.0
2007-07-09T06:16:00Z,415.7,2,0.0
2007-07-09T09:16:00Z,421.9,2,0.0
2007-07-09T12:16:00Z,417.0,2,0.0
2007-07-09T15:16:00Z,410.7,2,0.0
2007-07-09T18:16:00Z,409.7,2,0.0
2007-07-09T21:16:00Z,402.4,2,0.0
2007-07-10T00:16:00Z,399.9,2,0.0
2007-07-10T03:16:00Z,406.0,2,0.0
2007-07-10T06:16:00Z,407.4,2,0.0
2007-07-10T09:16:00Z,410.7,2,0.0
2007-07-10T12:16:00Z,411.3,2,0.0
2007-07-10T15:16:00Z,407.3,2,0.0
2007-07-10T18:16:00Z,403.8,2,0.0
2007-07-10T21:16:00Z,395.2,2,0.0
2007-07-11T00:16:00Z,391.6,2,0.0
2007-07-11T03:16:00Z,390.4,2,0.0
2007-07-11T06:16:00Z,395.7,2,0.0
2007-07-11T09:16:00Z,405.0,2,0.0
2007-07-11T12:16:00Z,397.9,2,0.0
2007-07-11T15:16:00Z,384.1,2,0.0
2007-07-11T18:16:00Z,385.2,2,0.0
2007-07-11T21:16:00Z,394.2,2,0.0
2007-07-12T00:16:00Z,406.6,2,0.0
2007-07-12T03:16:00Z,376.0,2,0.0
2007-07-12T06:16:00Z,381.6,2,0.0
2007-07-12T09:16:00Z,399.0,2,0.0
2007-07-12T12:16:00Z,395.0,2,0.0
2007-07-12T15:16:00Z,380.7,2,0.0
2007-07-12T18:16:00Z,379.3,2,0.0
2007-07-12T21:16:00Z,389.6,2,0.0
2007-07-13T00:16:00Z,397.4,2,0.0
2007-07-13T03:16:00Z,386.8,2,0.0
2007-07-13T06:16:00Z,388.4,2,0.0
2007-07-13T09:16:00Z,401.6,2,0.0
2007-07-13T12:16:00Z,403.7,2,0.0
2007-07-13T15:16:00Z,398.0,2,0.0
2007-07-13T18:16:00Z,412.1,2,0.0
2007-07-13T21:16:00Z,398.2,2,0.0
2007-07-14T00:16:00Z,396.7,2,0.0
2007-07-14T03:16:00Z,393.0,2,0.0
2007-07-14T06:16:00Z,395.7,2,0.0
2007-07-14T09:16:00Z,397.8,2,0.0
2007-07-14T12:16:00Z,406.1,2,0.0
2007-07-14T15:16:00Z,399.2,2,0.0
2007-07-14T18:16:00Z,403.3,2,0.0
2007-07-14T21:16:00Z,386.2,2,0.0
2007-07-15T00:16:00Z,390.1,2,0.0
2007-07-15T03:16:00Z,399.0,2,0.0
2007-07-15T06:16:00Z,402.6,2,0.0
2007-07-15T09:16:00Z,404.4,2,0.0
2007-07-15T12:16:00Z,410.8,2,0.0
2007-07-15T15:16:00Z,407.9,2,0.0
2007-07-15T18:16:00Z,409.5,2,0.0
2007-07-15T21:16:00Z,395.4,2,0.0
2007-07-16T00:16:00Z,394.3,2,0.0
2007-07-16T03:16:00Z,406.8,2,0.0
2007-07-16T06:16:00Z,400.3,2,0.0
2007-07-16T09:16:00Z,403.3,2,0.0
2007-07-16T12:16:00Z,412.0,2,0.0
2007-07-16T15:16:00Z,415.3,2,0.0
2007-07-16T18:16:00Z,412.9,2,0.0
2007-07-16T21:16:00Z,388.8,2,0.0
2007-07-17T00:16:00Z,398.3,2,0.0
2007-07-17T03:16:00Z,406.4,2,0.0
2007-07-17T06:16:00Z,399.0,2,0.0
2007-07-17T09:16:00Z,397.6,2,0.0
2007-07-17T12:16:00Z,409.0,2,0.0
2007-07-17T15:16:00Z,413.1,2,0.0
2007-07-17T18:16:00Z,414.2,2,0.0
2007-07-17T21:16:00Z,395.0,2,0.0
2007-07-18T00:16:00Z,390.4,2,0.0
2007-07-18T03:16:00Z,403.0,2,0.0
2007-07-18T06:16:00Z,397.2,2,0.0
2007-07-18T09:16:00Z,396.5,2,0.0
2007-07-18T12:16:00Z,405.8,2,0.0
2007-07-18T15:16:00Z,406.9,2,0.0
2007-07-18T18:16:00Z,403.9,2,0.0
2007-07-18T21:16:00Z,387.5,2,0.0
2007-07-19T00:16:00Z,385.2,2,0.0
2007-07-19T03:16:00Z,392.5,2,0.0
2007-07-19T06:16:00Z,399.3,2,0.0
2007-07-19T09:16:00Z,401.2,2,0.0
2007-07-19T12:16:00Z,405.8,2,0.0
2007-07-19T15:16:00Z,410.4,2,0.0
