name,latitude,longitude
SharkRv,25.3749722,-81.0366944
HarneyRv,25.43055556,-81.0859583
BroadRv,25.50138889,-81.0769444
LostmansRv,25.55555556,-81.1647222
EastRv,"	25.8953889",-81.4555
FakaUnionRv,25.9088,-81.5109
Trout Cr,25.2148972,-80.5335056
MccormickCr,25.1681944,-80.733589
Tamiami Can,25.7625,-80.3280833
StLucieRv,27.2048,-80.2587833
Snapper Cr,25.69905556,-80.3606111
LoxRv,26.93925,-80.17525
Hillsboro Can,26.47285,-80.446883
Canal111,25.32722,-80.52483
