name,latitude,longitude
pky,24.918,-80.747
bob,25.027,-80.681
bnk,25.087,-80.519
wrb,25.072,-80.735
lrk,24.982,-80.826
muk,25.1061,-80.9423
jky,25.0525,-80.9045
bky,25.1211,-80.8336
gbt,25.1672,-80.8013
tby,25.2034,-80.3723
lmd,25.1758,-80.6327
jby,25.2245,-80.541
dkk,25.1801,-80.49
bws,25.1783,-80.4384
lbs,25.2143,-80.4322
lsn,25.2352,-80.4568
hce,25.2542,-80.4443
thr,25.2034,-80.3723
mdk,25.2893,-80.3964
