name,latitude,longitude
EYW,24.55706,-81.75539
TPA,27.96331,-82.54
MIA,25.78805,-80.31694
Davie,26.06452,-80.32561
Jupiter,26.945819,-80.22986
LakeWorth,26.63306,-80.066103
Margate,26.24588,-80.21802
Perrine,25.5819,-80.4361
SouthBay,26.47,-80.6402
FtMyers,26.58495,-81.86146
Naples,26.15498,-81.77514
